Results for running random tests:
randomtestadventurer.c:
RANDOM TESTING: adventurer 
SEED 270 FAIL: expected hand count = 274, actual = 270
SEED 266 FAIL: expected hand count = 270, actual = 266
SEED 45 FAIL: expected hand count = 49, actual = 45
SEED 128 FAIL: expected hand count = 132, actual = 128
SEED 327072018 FAIL: expected treasures in hand = 49, actual = 50
SEED 415 FAIL: expected hand count = 419, actual = 415
SEED 118 FAIL: expected hand count = 122, actual = 118
SEED 160 FAIL: expected hand count = 164, actual = 160
SEED 402 FAIL: expected hand count = 406, actual = 402
SEED 1407654011 FAIL: expected treasures in hand = 33, actual = 34
SEED 287 FAIL: expected hand count = 291, actual = 287
SEED 145 FAIL: expected hand count = 149, actual = 145
SEED 133427256 FAIL: expected treasures in hand = 8, actual = 9
SEED 81 FAIL: expected hand count = 85, actual = 81
SEED 343 FAIL: expected hand count = 347, actual = 343
SEED 417 FAIL: expected hand count = 421, actual = 417
SEED 342 FAIL: expected hand count = 346, actual = 342
SEED 689417266 FAIL: expected treasures in hand = 32, actual = 33
SEED 240 FAIL: expected hand count = 244, actual = 240
SEED 445148399 FAIL: expected treasures in hand = 35, actual = 36
SEED 296 FAIL: expected hand count = 300, actual = 296
SEED 235 FAIL: expected hand count = 239, actual = 235
SEED 485 FAIL: expected hand count = 489, actual = 485
SEED 267 FAIL: expected hand count = 271, actual = 267
SEED 308 FAIL: expected hand count = 312, actual = 308
SEED 383 FAIL: expected hand count = 387, actual = 383
SEED 181 FAIL: expected hand count = 185, actual = 181
SEED 322 FAIL: expected hand count = 326, actual = 322
SEED 464 FAIL: expected hand count = 468, actual = 464
SEED 843244919 FAIL: expected treasures in hand = 49, actual = 50
SEED 406 FAIL: expected hand count = 410, actual = 406
SEED 199 FAIL: expected hand count = 203, actual = 199
SEED 473 FAIL: expected hand count = 477, actual = 473
SEED 398 FAIL: expected hand count = 402, actual = 398
SEED 1990108401 FAIL: expected treasures in hand = 30, actual = 31
SEED 215 FAIL: expected hand count = 219, actual = 215
SEED 71 FAIL: expected hand count = 75, actual = 71
SEED 298 FAIL: expected hand count = 302, actual = 298
SEED 183 FAIL: expected hand count = 187, actual = 183
SEED 218 FAIL: expected hand count = 222, actual = 218
SEED 1234690632 FAIL: expected treasures in hand = 58, actual = 59
SEED 447 FAIL: expected hand count = 451, actual = 447
SEED 314024069 FAIL: expected treasures in hand = 13, actual = 14
SEED 87 FAIL: expected hand count = 91, actual = 87
SEED 364 FAIL: expected hand count = 368, actual = 364
SEED 314 FAIL: expected hand count = 318, actual = 314
SEED 417 FAIL: expected hand count = 421, actual = 417
SEED 1532830302 FAIL: expected treasures in hand = 23, actual = 24
SEED 238 FAIL: expected hand count = 242, actual = 238
SEED 352 FAIL: expected hand count = 356, actual = 352
SEED 375 FAIL: expected hand count = 379, actual = 375
SEED 350 FAIL: expected hand count = 354, actual = 350
SEED 103063156 FAIL: expected treasures in hand = 69, actual = 70
SEED 494 FAIL: expected hand count = 498, actual = 494
SEED 233 FAIL: expected hand count = 237, actual = 233
SEED 42 FAIL: expected hand count = 46, actual = 42
SEED 195 FAIL: expected hand count = 199, actual = 195
SEED 17 FAIL: expected hand count = 21, actual = 17
SEED 74 FAIL: expected hand count = 78, actual = 74
SEED 1321074961 FAIL: expected treasures in hand = 25, actual = 26
SEED 176 FAIL: expected hand count = 180, actual = 176
SEED 251 FAIL: expected hand count = 255, actual = 251
SEED 17 FAIL: expected hand count = 21, actual = 17
SEED 162 FAIL: expected hand count = 166, actual = 162
SEED 973010383 FAIL: expected treasures in hand = 47, actual = 48
SEED 363 FAIL: expected hand count = 367, actual = 363
SEED 472 FAIL: expected hand count = 476, actual = 472
SEED 109 FAIL: expected hand count = 113, actual = 109
SEED 432 FAIL: expected hand count = 436, actual = 432
SEED 250 FAIL: expected hand count = 254, actual = 250
SEED 407 FAIL: expected hand count = 411, actual = 407
SEED 2036898688 FAIL: expected treasures in hand = 9, actual = 8
SEED 75 FAIL: expected hand count = 79, actual = 75
SEED 187 FAIL: expected hand count = 191, actual = 187
SEED 761847585 FAIL: expected treasures in hand = 12, actual = 13
SEED 95 FAIL: expected hand count = 99, actual = 95
SEED 288 FAIL: expected hand count = 292, actual = 288
SEED 96 FAIL: expected hand count = 100, actual = 96
SEED 419 FAIL: expected hand count = 423, actual = 419
SEED 373 FAIL: expected hand count = 377, actual = 373
SEED 1379528802 FAIL: expected treasures in hand = 41, actual = 42
SEED 347 FAIL: expected hand count = 351, actual = 347
SEED 77 FAIL: expected hand count = 81, actual = 77
SEED 421868225 FAIL: expected treasures in hand = 40, actual = 39
SEED 301 FAIL: expected hand count = 305, actual = 301
SEED 77 FAIL: expected hand count = 81, actual = 77
SEED 424 FAIL: expected hand count = 428, actual = 424
SEED 989131573 FAIL: expected treasures in hand = 31, actual = 32
SEED 256 FAIL: expected hand count = 260, actual = 256
SEED 311 FAIL: expected hand count = 315, actual = 311
SEED 1569247796 FAIL: expected treasures in hand = 8, actual = 9
SEED 63 FAIL: expected hand count = 67, actual = 63
SEED 372 FAIL: expected hand count = 376, actual = 372
SEED 2091547274 FAIL: expected treasures in hand = 2, actual = 3
SEED 8 FAIL: expected hand count = 12, actual = 8
SEED 214 FAIL: expected hand count = 218, actual = 214
SEED 446 FAIL: expected hand count = 450, actual = 446
