randomtestcard2.c:
RANDOM TESTING: cutpurse 
SEED 435674339 FAIL: Player's copper = 54, expected = 2
SEED 516785035 FAIL: Player's coins increased = 0, expected = 2
SEED 516785035 FAIL: Player's copper = 82, expected = 2
SEED 516785035 FAIL: Player's copper = 100, expected = 2
SEED 766974089 FAIL: Player's coins increased = 0, expected = 2
SEED 766974089 FAIL: Player's copper = 98, expected = 2
SEED 766974089 FAIL: Player's copper = 98, expected = 2
SEED 766974089 FAIL: Player's copper = 93, expected = 2
SEED 264279427 FAIL: Player's coins increased = 0, expected = 2
SEED 264279427 FAIL: Player's copper = 154, expected = 2
SEED 264279427 FAIL: Player's copper = 139, expected = 2
SEED 264279427 FAIL: Player's copper = 134, expected = 2
SEED 583105273 FAIL: Player's coins increased = 0, expected = 2
SEED 583105273 FAIL: Player's copper = 123, expected = 2
SEED 583105273 FAIL: Player's copper = 120, expected = 2
SEED 1426683551 FAIL: Player's coins increased = 0, expected = 2
SEED 1426683551 FAIL: Player's copper = 41, expected = 2
SEED 1426683551 FAIL: Player's copper = 42, expected = 2
SEED 1426683551 FAIL: Player's copper = 38, expected = 2
SEED 1663064014 FAIL: Player's coins increased = 0, expected = 2
SEED 1663064014 FAIL: Player's copper = 146, expected = 2
SEED 1260527486 FAIL: Player's coins increased = 0, expected = 2
SEED 1260527486 FAIL: Player's copper = 152, expected = 2
SEED 1260527486 FAIL: Player's copper = 135, expected = 2
SEED 1260527486 FAIL: Player's copper = 112, expected = 2
SEED 1053777350 FAIL: Player's coins increased = 0, expected = 2
SEED 1053777350 FAIL: Player's copper = 92, expected = 2
SEED 1563121204 FAIL: Player's coins increased = 0, expected = 2
SEED 1563121204 FAIL: Player's copper = 137, expected = 2
SEED 148683515 FAIL: Player's coins increased = 0, expected = 2
SEED 148683515 FAIL: Player's copper = 131, expected = 2
SEED 148683515 FAIL: Player's copper = 106, expected = 2
SEED 2023966047 FAIL: Player's coins increased = 0, expected = 2
SEED 2023966047 FAIL: Player's copper = 101, expected = 2
SEED 2023966047 FAIL: Player's copper = 110, expected = 2
SEED 2023966047 FAIL: Player's copper = 113, expected = 2
SEED 844115465 FAIL: Player's coins increased = 0, expected = 2
SEED 844115465 FAIL: Player's copper = 66, expected = 2
SEED 844115465 FAIL: Player's copper = 66, expected = 2
SEED 805943427 FAIL: Player's coins increased = -2, expected = 2
SEED 805943427 FAIL: Player's copper = 101, expected = 2
SEED 805943427 FAIL: Player's copper = 130, expected = 2
SEED 1536105015 FAIL: Player's coins increased = 0, expected = 2
SEED 1536105015 FAIL: Player's copper = 29, expected = 2
SEED 1536105015 FAIL: Player's copper = 34, expected = 2
SEED 1696227680 FAIL: Player's coins increased = 0, expected = 2
SEED 1696227680 FAIL: Player's copper = 77, expected = 2
SEED 672051494 FAIL: Player's coins increased = 0, expected = 2
SEED 672051494 FAIL: Player's copper = 58, expected = 2
SEED 1567004765 FAIL: Player's coins increased = 0, expected = 2
SEED 1567004765 FAIL: Player's copper = 130, expected = 2
SEED 1567004765 FAIL: Player's copper = 130, expected = 2
SEED 1532026491 FAIL: Player's coins increased = 0, expected = 2
SEED 1532026491 FAIL: Player's copper = 24, expected = 2
SEED 148833856 FAIL: Player's coins increased = 0, expected = 2
SEED 148833856 FAIL: Player's copper = 44, expected = 2
SEED 1259096118 FAIL: Player's coins increased = 0, expected = 2
SEED 1259096118 FAIL: Player's copper = 2, expected = 2
SEED 469488472 FAIL: Player's coins increased = -1, expected = 2
SEED 469488472 FAIL: Player's copper = 103, expected = 2
SEED 469488472 FAIL: Player's copper = 92, expected = 2
SEED 469488472 FAIL: Player's copper = 114, expected = 2
SEED 88144543 FAIL: Player's coins increased = 0, expected = 2
SEED 88144543 FAIL: Player's copper = 105, expected = 2
SEED 88144543 FAIL: Player's copper = 111, expected = 2
SEED 57216638 FAIL: Player's coins increased = 0, expected = 2
SEED 57216638 FAIL: Player's copper = 131, expected = 2
SEED 57216638 FAIL: Player's copper = 131, expected = 2
SEED 841834788 FAIL: Player's coins increased = 0, expected = 2
SEED 841834788 FAIL: Player's copper = 126, expected = 2
SEED 841834788 FAIL: Player's copper = 140, expected = 2
SEED 582013230 FAIL: Player's coins increased = 0, expected = 2
SEED 582013230 FAIL: Player's copper = 88, expected = 2
SEED 582013230 FAIL: Player's copper = 92, expected = 2
SEED 582013230 FAIL: Player's copper = 97, expected = 2
SEED 1315453607 FAIL: Player's coins increased = 0, expected = 2
SEED 1315453607 FAIL: Player's copper = 169, expected = 2
SEED 611187258 FAIL: Player's coins increased = 0, expected = 2
SEED 611187258 FAIL: Player's copper = 55, expected = 2
SEED 611187258 FAIL: Player's copper = 45, expected = 2
SEED 1454586500 FAIL: Player's coins increased = 0, expected = 2
SEED 1454586500 FAIL: Player's copper = 97, expected = 2
SEED 1454586500 FAIL: Player's copper = 94, expected = 2
SEED 597325486 FAIL: Player's coins increased = -1, expected = 2
SEED 597325486 FAIL: Player's copper = 2, expected = 2
SEED 519061951 FAIL: Player's coins increased = 0, expected = 2
SEED 519061951 FAIL: Player's copper = 157, expected = 2
SEED 683560755 FAIL: Player's coins increased = 0, expected = 2
SEED 683560755 FAIL: Player's copper = 135, expected = 2
SEED 2121771251 FAIL: Player's coins increased = -1, expected = 2
SEED 2121771251 FAIL: Player's copper = 139, expected = 2
SEED 2121771251 FAIL: Player's copper = 137, expected = 2
